Original,Translated,English,Bracket
arisithipli,arisithipli,arisithipli,
ziti pasta,ziti pasta,ziti pasta,
dried mango powder,dried mango powder,dried mango powder,
coconut curd,coconut curd,coconut curd,
coriander (dhania) seeds,coriander (dhania) seeds,coriander  seeds,dhania
refried beans,refried beans,refried beans,
panini bread,panini bread,panini bread,
jasmine rice,jasmine rice,jasmine rice,
purple yam,purple yam,purple yam,
motichoor ladoos,motichoor ladoos,motichoor ladoos,
papdi puris,papdi puris,papdi puris,
coconut flakes,coconut flakes,coconut flakes,
hog plum (amtekai),hog plum (amtekai),hog plum,amtekai
habenaro sauce,habenaro sauce,habenaro sauce,
अंकुरित दाल,bean sprout,bean sprout,amkurita dala
vanilla custard,vanilla custard,vanilla custard,
veeba sweet chilli sauce,veeba sweet chilli sauce,veeba sweet chilli sauce,
वीट जर्म,vet germ,vet germ,vita jarma
chickpea sprouts,chickpea sprouts,chickpea sprouts,
barley (seeds),barley (seeds),barley,seeds
saffron strands,saffron strands,saffron strands,
आल स्पाइस पाउडर,all spice powder,all spice powder,ala spaisa paudara
veeba harissa sauce,veeba harissa sauce,veeba harissa sauce,
soy flour,soy flour,soy flour,
kosher salt,kosher salt,kosher salt,
sweet potato & beet kebab balls,sweet potato & beet kebab balls,sweet potato & beet kebab balls,
caster sugar,caster sugar,caster sugar,
fettuccine pasta,fettuccine pasta,fettuccine pasta,
जेलेपिनो,zlepino,zlepino,jelepino
byadagi red chilli,byadagi red chilli,byadagi red chilli,
colostrum (early milk),colostrum (early milk),colostrum,early milk
whole almonds (badam),whole almonds (badam),whole almonds,badam
health mix,health mix,health mix,
punjabi style mango pickle,punjabi style mango pickle,punjabi style mango pickle,
corn cob,corn cob,corn cob,
रेड चिल्ली फलैक्स,red chilli palax,red chilli palax,reda chilli phalaiksa
lemon,lemon,lemon,
peepramul powder (ganthoda),peepramul powder (ganthoda),peepramul powder,ganthoda
mustard seeds (rai/ kadugu). ),mustard seeds (rai/ kadugu). ),mustard seeds . ),rai/ kadugu
bathua,bathua,bathua,
cane sugar,cane sugar,cane sugar,
heart leaves,heart leaves,heart leaves,
dhansak masala,dhansak masala,dhansak masala,
taco seasoning,taco seasoning,taco seasoning,
turmeric powder,turmeric powder,turmeric powder,
brown sugar (demerara sugar),brown sugar (demerara sugar),brown sugar,demerara sugar
apples,apples,apples,
agathi keerai,agathi keerai,agathi keerai,
पापड़,papad,papad,papa.da
green grapes,green grapes,green grapes,
kabuli chana or chickpeas,kabuli chana or chickpeas,kabuli chana or chickpeas,
lotus seeds,lotus seeds,lotus seeds,
pickle masala,pickle masala,pickle masala,
leftover roti,leftover roti,leftover roti,
fruits,fruits,fruits,
bhindi/okra/vendaikkai,bhindi/okra/vendaikkai,bhindi/okra/vendaikkai,
icing sugar,icing sugar,icing sugar,
pea shoot leaves,pea shoot leaves,pea shoot leaves,
blue cheese,blue cheese,blue cheese,
kapok bud,kapok bud,kapok bud,
pumpkin flowers,pumpkin flowers,pumpkin flowers,
कंटोल,contol,contol,kamtola
edible silver foil/leaf (chandi ka vark),edible silver foil/leaf (chandi ka vark),edible silver foil/leaf,chandi ka vark
कटहल,jackfruit,jackfruit,katahala
bechamel sauce,bechamel sauce,bechamel sauce,
cooked rice noodles,cooked rice noodles,cooked rice noodles,
blueberry jam,blueberry jam,blueberry jam,
palm sugar,palm sugar,palm sugar,
corn kernels,corn kernels,corn kernels,
carp fish,carp fish,carp fish,
beef,beef,beef,
bay leaves,bay leaves,bay leaves,
fennel bulb,fennel bulb,fennel bulb,
pudina dahi chutney,pudina dahi chutney,pudina dahi chutney,
dry dates powder (kharik pud),dry dates powder (kharik pud),dry dates powder,kharik pud
nolen gur,nolen gur,nolen gur,
green moong sprouts,green moong sprouts,green moong sprouts,
mango ginger,mango ginger,mango ginger,
yakisoba noodles,yakisoba noodles,yakisoba noodles,
green chilli paste,green chilli paste,green chilli paste,
bhindi (lady finger/okra),bhindi (lady finger/okra),bhindi,lady finger/okra
kewra essence,kewra essence,kewra essence,
farsan,farsan,farsan,
rabdi,rabdi,rabdi,
sriracha sauce,sriracha sauce,sriracha sauce,
tzatziki,tzatziki,tzatziki,
meat masala,meat masala,meat masala,
toothpicks,toothpicks,toothpicks,
chives,chives,chives,
bay leaves (tej patta),bay leaves (tej patta),bay leaves,tej patta
summer salad,summer salad,summer salad,
heavy whipping cream,heavy whipping cream,heavy whipping cream,
purple cabbage,purple cabbage,purple cabbage,
apple cider vinegar,apple cider vinegar,apple cider vinegar,
pickles,pickles,pickles,
gulab jamun mix,gulab jamun mix,gulab jamun mix,
assam tea leaves,assam tea leaves,assam tea leaves,
phool makhana (lotus seeds),phool makhana (lotus seeds),phool makhana,lotus seeds
summac,summac,summac,
whole wheat flour tortilla,whole wheat flour tortilla,whole wheat flour tortilla,
गोभी,cauliflower,cauliflower,gobhi
chat masala powder,chat masala powder,chat masala powder,
onion masala,onion masala,onion masala,
avarekai (broad beans),avarekai (broad beans),avarekai,broad beans
manathakkali keerai,manathakkali keerai,manathakkali keerai,
मेथी पाउडर,fenugreek powder,fenugreek powder,methi paudara
cumin seeds powder,cumin seeds powder,cumin seeds powder,
tapioca root,tapioca root,tapioca root,
सूजी,semolina,semolina,suji
honey dew melon,honey dew melon,honey dew melon,
confectioners sugar,confectioners sugar,confectioners sugar,
green coriander leaves,green coriander leaves,green coriander leaves,
elephant yam (suran/senai/ratalu),elephant yam (suran/senai/ratalu),elephant yam,suran/senai/ratalu
quail eggs,quail eggs,quail eggs,
कटहल के बीज,jackfruit seeds,jackfruit seeds,katahala ke bija
chamomile tea,chamomile tea,chamomile tea,
केनोला का तेल,canola oil,canola oil,kenola ka tela
english cucumbers,english cucumbers,english cucumbers,
gawar phali (kothavarangai / cluster beans),gawar phali (kothavarangai / cluster beans),gawar phali,kothavarangai / cluster beans
chenna (homemade cottage cheese),chenna (homemade cottage cheese),chenna,homemade cottage cheese
sarsaparilla (mahali root),sarsaparilla (mahali root),sarsaparilla,mahali root
fresh figs,fresh figs,fresh figs,
बड़ी (वड़ी),big (vadi),big,ba.di (va.di)
idli dosa podi (milagai powder),idli dosa podi (milagai powder),idli dosa podi,milagai powder
paneer (homemade cottage cheese),paneer (homemade cottage cheese),paneer,homemade cottage cheese
kalonji (onion nigella seeds),kalonji (onion nigella seeds),kalonji,onion nigella seeds
walnuts,walnuts,walnuts,
नीम का फूल,neem flower,neem flower,nima ka phula
dosa rice,dosa rice,dosa rice,
pav buns,pav buns,pav buns,
mustard seeds (rai/ kadugu),mustard seeds (rai/ kadugu),mustard seeds,rai/ kadugu
cajun spice mix,cajun spice mix,cajun spice mix,
dried coconut,dried coconut,dried coconut,
star fruit,star fruit,star fruit,
mooli ke patte (radish greens),mooli ke patte (radish greens),mooli ke patte,radish greens
aloe vera extract,aloe vera extract,aloe vera extract,
sauerkraut,sauerkraut,sauerkraut,
mustard powder,mustard powder,mustard powder,
chinese 5 spice powder,chinese 5 spice powder,chinese 5 spice powder,
प्रून,prun,prun,pruna
pasta,pasta,pasta,
jal jeera powder,jal jeera powder,jal jeera powder,
पूरी काली मिर्च,full pepper,full pepper,puri kali mircha
japanese eggplant,japanese eggplant,japanese eggplant,
lychee,lychee,lychee,
gochujang (korean hot pepper paste),gochujang (korean hot pepper paste),gochujang,korean hot pepper paste
yellow moong dal (split),yellow moong dal (split),yellow moong dal,split
flat green beans,flat green beans,flat green beans,
runner beans,runner beans,runner beans,
small green brinjal (green aubergine),small green brinjal (green aubergine),small green brinjal,green aubergine
rice puttu,rice puttu,rice puttu,
tur dal,tur dal,tur dal,
rice ada,rice ada,rice ada,
foxtail millet flour,foxtail millet flour,foxtail millet flour,
samvat rice,samvat rice,samvat rice,
urad dal flour,urad dal flour,urad dal flour,
marie biscuit,marie biscuit,marie biscuit,
orzo pasta,orzo pasta,orzo pasta,
dry beans,dry beans,dry beans,
mooli/ mullangi (radish),mooli/ mullangi (radish),mooli/ mullangi,radish
gelatin,gelatin,gelatin,
khichdi,khichdi,khichdi,
mace (javitri),mace (javitri),mace,javitri
thonnai (dried leaves),thonnai (dried leaves),thonnai,dried leaves
canned beans,canned beans,canned beans,
pizza base,pizza base,pizza base,
tapioca,tapioca,tapioca,
fried rice,fried rice,fried rice,
orange zest (rind),orange zest (rind),orange zest,rind
लॉन्ग,long,long,laॉnga
dried thyme leaves,dried thyme leaves,dried thyme leaves,
green moong dal (whole),green moong dal (whole),green moong dal,whole
jackfruit ripe (kathal),jackfruit ripe (kathal),jackfruit ripe,kathal
sea salt,sea salt,sea salt,
kabuli chana or chola,kabuli chana or chola,kabuli chana or chola,
छोटे आलू,smear potato,smear potato,chote alu
cloves (laung),cloves (laung),cloves,laung
chipotle sauce,chipotle sauce,chipotle sauce,
पंच फोरन मसाला,punch fare masala,punch fare masala,pamcha phorana masala
gunde (bird lime),gunde (bird lime),gunde,bird lime
bok choy,bok choy,bok choy,
pomegranate juice,pomegranate juice,pomegranate juice,
arhar dal,arhar dal,arhar dal,
gingelly oil,gingelly oil,gingelly oil,
chocolate ganache,chocolate ganache,chocolate ganache,
dried chamomile,dried chamomile,dried chamomile,
potatoes,potatoes,potatoes,
badi (wadi),badi (wadi),badi,wadi
chia seeds,chia seeds,chia seeds,
cooked rice,cooked rice,cooked rice,
pretzels,pretzels,pretzels,
coconut cream,coconut cream,coconut cream,
rose petals,rose petals,rose petals,
bell pepper (red),bell pepper (red),bell pepper,red
lamb ribs,lamb ribs,lamb ribs,
shallots,shallots,shallots,
kunafa pastry,kunafa pastry,kunafa pastry,
seeraga (jeeraga) samba rice,seeraga (jeeraga) samba rice,seeraga  samba rice,jeeraga
boneless chicken,boneless chicken,boneless chicken,
lavender buds,lavender buds,lavender buds,
black grapes,black grapes,black grapes,
crusty bread log,crusty bread log,crusty bread log,
prunes,prunes,prunes,
green channa sprouts,green channa sprouts,green channa sprouts,
sugar syrup,sugar syrup,sugar syrup,
thai jasmine rice,thai jasmine rice,thai jasmine rice,
milk powder,milk powder,milk powder,
jalapeno,jalapeno,jalapeno,
homemade whole wheat khakras,homemade whole wheat khakras,homemade whole wheat khakras,
tinda (apple gourd),tinda (apple gourd),tinda,apple gourd
chocolate brownie,chocolate brownie,chocolate brownie,
bread crumbs,bread crumbs,bread crumbs,
black soy beans,black soy beans,black soy beans,
swiss chards,swiss chards,swiss chards,
shiitake mushrooms,shiitake mushrooms,shiitake mushrooms,
basmati rice,basmati rice,basmati rice,
white bacardi rum,white bacardi rum,white bacardi rum,
chicken liver,chicken liver,chicken liver,
mangalorean cucumber,mangalorean cucumber,mangalorean cucumber,
coal,coal,coal,
falafel,falafel,falafel,
jowar flour (sorghum),jowar flour (sorghum),jowar flour,sorghum
स्ट्रॉबेरी,strawberry,strawberry,straॉberi
parmesan cheese,parmesan cheese,parmesan cheese,
स्टार अनीस,star anees,star anees,stara anisa
small onions,small onions,small onions,
shahi jeera,shahi jeera,shahi jeera,
bisi bele bhat spice powder,bisi bele bhat spice powder,bisi bele bhat spice powder,
britannia cream cheese,britannia cream cheese,britannia cream cheese,
sourdough bread,sourdough bread,sourdough bread,
lemon wedges,lemon wedges,lemon wedges,
चिआ के दाने,caan rash,caan rash,chia ke dane
del monte sandwich spread,del monte sandwich spread,del monte sandwich spread,
green romaine lettuce,green romaine lettuce,green romaine lettuce,
britannia cheese block,britannia cheese block,britannia cheese block,
apricots,apricots,apricots,
बूंदी,bundi,bundi,bumdi
nachos,nachos,nachos,
reacheado masala,reacheado masala,reacheado masala,
vellai poosanikai (ash gourd/white pumpkin),vellai poosanikai (ash gourd/white pumpkin),vellai poosanikai,ash gourd/white pumpkin
ice wine,ice wine,ice wine,
kaffir lime leaves,kaffir lime leaves,kaffir lime leaves,
beetroot greens,beetroot greens,beetroot greens,
brown rice flakes,brown rice flakes,brown rice flakes,
masoor dal (split),masoor dal (split),masoor dal,split
granulated sugar,granulated sugar,granulated sugar,
amaranth seeds (rajgira),amaranth seeds (rajgira),amaranth seeds,rajgira
cumin seeds (jeera),cumin seeds (jeera),cumin seeds,jeera
fresh cherries,fresh cherries,fresh cherries,
kabuli chana or chickpea,kabuli chana or chickpea,kabuli chana or chickpea,
whole almonds (almonds),whole almonds (almonds),whole almonds,almonds
jelly mix,jelly mix,jelly mix,
चना दाल,chickpea lentil,chickpea lentil,chana dala
mixed grains,mixed grains,mixed grains,
yogurt,yogurt,yogurt,
red chili powder,red chili powder,red chili powder,
ginger paste,ginger paste,ginger paste,
instant dosa mix powder,instant dosa mix powder,instant dosa mix powder,
लोबिया,lobia,lobia,lobiya
basella (malabar spinach),basella (malabar spinach),basella,malabar spinach
dried turmeric,dried turmeric,dried turmeric,
guntur red chilli,guntur red chilli,guntur red chilli,
silver vark,silver vark,silver vark,
white broad beans,white broad beans,white broad beans,
mixed dal,mixed dal,mixed dal,
गाजर,carrot,carrot,gajara
kalamata olives,kalamata olives,kalamata olives,
kidney beans,kidney beans,kidney beans,
mango pickle,mango pickle,mango pickle,
boiled egg,boiled egg,boiled egg,
risotto,risotto,risotto,
turmeric (fresh),turmeric (fresh),turmeric,fresh
groundnut powder,groundnut powder,groundnut powder,
गोंगुरा,gongura,gongura,gomgura
green zucchini,green zucchini,green zucchini,
rasam powder,rasam powder,rasam powder,
lemon salt,lemon salt,lemon salt,
spring onion (bulb & greens),spring onion (bulb & greens),spring onion,bulb & greens
oysters,oysters,oysters,
canned tuna,canned tuna,canned tuna,
idli dosa mix,idli dosa mix,idli dosa mix,
sweet potatoes,sweet potatoes,sweet potatoes,
dried figs,dried figs,dried figs,
manathakkali kai vathal,manathakkali kai vathal,manathakkali kai vathal,
fresh red chilli,fresh red chilli,fresh red chilli,
oat bran,oat bran,oat bran,
lemongrass,lemongrass,lemongrass,
kaddu (parangikai / pumpkin),kaddu (parangikai / pumpkin),kaddu,parangikai / pumpkin
pineapple juice,pineapple juice,pineapple juice,
shell pasta,shell pasta,shell pasta,
छेडार चीज़,chopper,chopper,chedara chiza
mustard seeds,mustard seeds,mustard seeds,
pomegranate seeds,pomegranate seeds,pomegranate seeds,
pasta  fusilli,pasta  fusilli,pasta  fusilli,
amaranth,amaranth,amaranth,
basil powder,basil powder,basil powder,
इडली डोसा मिश्रण,idli dosa mixture,idli dosa mixture,idali dosa mishrana
asafoetida (hing),asafoetida (hing),asafoetida,hing
baby spinach,baby spinach,baby spinach,
red snapper fish,red snapper fish,red snapper fish,
dijon mustard,dijon mustard,dijon mustard,
samba rice,samba rice,samba rice,
cinnamon stick,cinnamon stick,cinnamon stick,
cluster beans,cluster beans,cluster beans,
curry,curry,curry,
masauras,masauras,masauras,
horse gram,horse gram,horse gram,
kaddu (parangikai/ pumpkin),kaddu (parangikai/ pumpkin),kaddu,parangikai/ pumpkin
chicken drumstick,chicken drumstick,chicken drumstick,
butternut squash,butternut squash,butternut squash,
palm jaggery,palm jaggery,palm jaggery,
orange liquor,orange liquor,orange liquor,
black eyed beans (lobia),black eyed beans (lobia),black eyed beans,lobia
goond (edible gum),goond (edible gum),goond,edible gum
biryani masala,biryani masala,biryani masala,
thin semiya (seviyan),thin semiya (seviyan),thin semiya,seviyan
mango coulis,mango coulis,mango coulis,
ber,ber,ber,
ada,ada,ada,
black cardamom (badi elaichi),black cardamom (badi elaichi),black cardamom,badi elaichi
dessicated coconut,dessicated coconut,dessicated coconut,
red baby radish,red baby radish,red baby radish,
brown cardamom (badi elaichi),brown cardamom (badi elaichi),brown cardamom,badi elaichi
black urad dal (split),black urad dal (split),black urad dal,split
lukewarm water,lukewarm water,lukewarm water,
hash browns,hash browns,hash browns,
kebab masala,kebab masala,kebab masala,
multigrain flour,multigrain flour,multigrain flour,
काबुली चन्ना,kabuli channa,kabuli channa,kabuli channa
hung curd (greek yogurt),hung curd (greek yogurt),hung curd,greek yogurt
namak para,namak para,namak para,
muesli,muesli,muesli,
orange peel,orange peel,orange peel,
beer,beer,beer,
chironji,chironji,chironji,
chicken thighs,chicken thighs,chicken thighs,
butterscotch ice cream,butterscotch ice cream,butterscotch ice cream,
peanuts,peanuts,peanuts,
green amaranth leaves,green amaranth leaves,green amaranth leaves,
lahsun ki chutney (red garlic chutney),lahsun ki chutney (red garlic chutney),lahsun ki chutney,red garlic chutney
cilantro,cilantro,cilantro,
red chilli paste,red chilli paste,red chilli paste,
बालसामिक सिरका,bloomic vinegar,bloomic vinegar,balasamika siraka
cinnamon stick (cinnamon),cinnamon stick (cinnamon),cinnamon stick,cinnamon
मसूर दाल (स्प्लिट),lentil dal (split),lentil dal,masura dala (splita)
biscuit dough,biscuit dough,biscuit dough,
coriander (dhania) powder,coriander (dhania) powder,coriander  powder,dhania
bajra dosa batter,bajra dosa batter,bajra dosa batter,
mixed greens,mixed greens,mixed greens,
मेस,mess,mess,mesa
dry ginger,dry ginger,dry ginger,
bhindi (okhra),bhindi (okhra),bhindi,okhra
mixed nuts,mixed nuts,mixed nuts,
del monte black olives,del monte black olives,del monte black olives,
singhade (water chestnut),singhade (water chestnut),singhade,water chestnut
whole wheat brown bread,whole wheat brown bread,whole wheat brown bread,
pomfret fish,pomfret fish,pomfret fish,
homemade basil pesto,homemade basil pesto,homemade basil pesto,
raw banana peel,raw banana peel,raw banana peel,
tomatoes,tomatoes,tomatoes,
puris used for pani puri,puris used for pani puri,puris used for pani puri,
तुरई,turai,turai,turai
spring roll wrappers,spring roll wrappers,spring roll wrappers,
watermelon juice,watermelon juice,watermelon juice,
mixed berries,mixed berries,mixed berries,
custard powder,custard powder,custard powder,
digestive biscuit,digestive biscuit,digestive biscuit,
milk chocolate,milk chocolate,milk chocolate,
moth dal (matki),moth dal (matki),moth dal,matki
bond,bond,bond,
ridge gourd,ridge gourd,ridge gourd,
almond essence (badam essence),almond essence (badam essence),almond essence,badam essence
cumin powder (jeera),cumin powder (jeera),cumin powder,jeera
काली उरद दाल,kali urad dal,kali urad dal,kali urada dala
whole wheat oatmeal cookies,whole wheat oatmeal cookies,whole wheat oatmeal cookies,
baking powder,baking powder,baking powder,
lemons,lemons,lemons,
crab,crab,crab,
fresh herbs,fresh herbs,fresh herbs,
purple carrots,purple carrots,purple carrots,
ice cream,ice cream,ice cream,
mango powder,mango powder,mango powder,
curd vada,curd vada,curd vada,
falsa,falsa,falsa,
lemon glaze,lemon glaze,lemon glaze,
masoor dal (split),masoor dal (split),masoor dal,split
guntur dried chillies,guntur dried chillies,guntur dried chillies,
decorative sugar (cake/ candy sprinkles),decorative sugar (cake/ candy sprinkles),decorative sugar,cake/ candy sprinkles
soy milk,soy milk,soy milk,
polenta,polenta,polenta,
egg whites,egg whites,egg whites,
काबुली चना या छोला,kabuli gram,kabuli gram,kabuli chana ya chola
ginger cookies,ginger cookies,ginger cookies,
thandai syrup,thandai syrup,thandai syrup,
arbi,arbi,arbi,
wild rice,wild rice,wild rice,
काले,black,black,kale
chilli vinegar,chilli vinegar,chilli vinegar,
achari masala,achari masala,achari masala,
corn flakes,corn flakes,corn flakes,
bengal gram dal,bengal gram dal,bengal gram dal,
chilli oil,chilli oil,chilli oil,
pimiento-stuffed green olives,pimiento-stuffed green olives,pimiento-stuffed green olives,
काला जीरा,black cumin,black cumin,kala jira
हरा मट्टर,green matter,green matter,hara mattara
cauliflower (gobi),cauliflower (gobi),cauliflower,gobi
whole wheat pita bread,whole wheat pita bread,whole wheat pita bread,
kasundi mustard sauce,kasundi mustard sauce,kasundi mustard sauce,
ginger oil,ginger oil,ginger oil,
peruvian beans,peruvian beans,peruvian beans,
kale,kale,kale,
rose essence,rose essence,rose essence,
गोभी के पत्ते,cabbage leaves,cabbage leaves,gobhi ke patte
corn syrup,corn syrup,corn syrup,
chocolate sauce,chocolate sauce,chocolate sauce,
rice vermicelli noodles (thin),rice vermicelli noodles (thin),rice vermicelli noodles,thin
grand marnier,grand marnier,grand marnier,
